voter.address,total_proposals,total_votes,for_votes,against_votes,weight,abstain_votes
0x5adfa3e78ccae7e53093d42230f7677130e047fb,17,17,13,3,2.2825e+22,1
0xe94983d7b671e01a85194f2bff3ceb566165f6a6,17,17,13,3,2.2825e+22,1
0x7a3cda9421e8b99bc1c7978b9e1589d6f6f7f4c8,17,17,12,4,2.2825e+22,1
0xbf543d3ec15a8b6f2e60c4993147f0a07105cb2e,17,17,13,3,2.2825e+22,1
0x7b6942d857f43623c74e32f0e7c1b8bf37bdff83,17,17,13,3,2.2825e+22,1
0xd19496be4abd2641955b1136568a537296614c10,17,17,13,3,2.2825e+22,1
0xe4bc92a26c5f2f80f70b03ccde64add20843d957,17,17,13,3,2.2825e+22,1
0x64b71850a713994827892fd7aa9d89a70cca0e82,17,17,13,3,2.2825e+22,1
0x4bd7a14ce0d35e01d04160d8f4da0ee14bea7d90,17,17,13,3,2.2825e+22,1
0x9c3f91356bdbceb5cbe56a68f1dae25f1caebd8e,17,17,13,3,2.2825e+22,1
0x9742f4ec7c5f92c00571ea0281c2cac24bda664a,17,17,13,3,2.2825e+22,1
0x9e1e9e0cc88df195ff4ec9314dacce8cd45bf763,17,17,13,3,2.2825e+22,1
0xf5bfcb2217645815ce033e5435c09a6ca5aa5e3f,17,17,13,3,2.2825e+22,1
0x9e23914e4128b890b94d15fe586ca32eeb56291b,17,17,13,3,2.2825e+22,1
0x560bc68d73ec2d0c25eb9a655ef915d9979f5e42,17,17,13,3,2.2825e+22,1
0x4f2fc9e8464161f0b7ee6c7357f4b789dbd2169e,17,17,13,3,2.2825e+22,1
0xc012200359debedd512c4b4b5718c7b8b1cf3e31,17,17,13,3,2.2825e+22,1
0xa280c6f0b32efbf7bb267130ae92b2c4a8156b22,17,17,13,3,2.2825e+22,1
0xa35c949f8dfa0987fb7009683ed4b27f3763ee87,17,17,13,3,2.2825e+22,1
0xaac5b421889ea24a13b801920e0ca968a6d0eab0,17,17,13,3,2.2825e+22,1
0xd426211d55db8350ddbb86ea86aa0ecf8931c951,17,17,13,3,2.2825e+22,1
0x8c72b6abda7b68808851de83e3e59fd47b8c4609,17,17,13,3,2.2825e+22,1
0x68d81c5f799a507a3038255723f7c9030d92ca41,2,2,1,1,2.271661103866e+22,0
0xbca616cf3a82d37c474efd9a14d5df1e3c6be9c7,13,13,13,0,2.2654999999999994e+22,0
0xc4c432dda413ac8ec421844703e831985a6833e5,5,5,4,0,2.258715780360187e+22,1
0x11b9dd6d3129eb740011b1a948adcbcb67758a10,7,7,7,0,2.2549944052837675e+22,0
0x3c42e14123e8b53d33e3d41c04cf4929cabffa35,11,11,11,0,2.2512921938735854e+22,0
0x569e0d84fbc09006049057cc6f9538103635fff8,4,4,4,0,2.25e+22,0
0x0f114d871c6e6b8793de599096167537b2795001,4,4,4,0,2.207778578763837e+22,0
0x089a7ca23ef69cd662a7045c8c3d0e55eff94f26,9,9,8,1,2.2011190731862178e+22,0
0x166f2e250ac6c8ef7aaaadf9853720376a6c4b86,2,2,0,2,2.2e+22,0
0xd6b094b9d952a5527a3d4dd9975ee8bf8c25c616,21,21,19,2,2.1885e+22,0
0xca5ce67a4cc81875f9e687c24ac81d1a6a2ee841,5,5,5,0,2.1875443663852104e+22,0
0x5369865e549f0068f1c197e1194d56a667090f58,13,13,10,2,2.1649999999999995e+22,1
0xcd09f69f4845fe863e49fbb40b13debfe477dfb3,13,13,10,3,2.1649999999999995e+22,0
0x6c156bfd3bf01ad3653b40f6e759af590a189112,13,13,10,3,2.1649999999999995e+22,0
0xdf9b8590e80b2546fc71578f63aa332fef4cb575,4,4,2,1,2.164380103698136e+22,1
0x96ad6be504d153a25d41a476d5202425e85135fb,5,5,5,0,2.143455283491565e+22,0
0xf9c3261fd581fefc8fc841a2c79fa5b04dfe5fb2,8,8,8,0,2.141887390707276e+22,0
0x317ae3371f777adedaade238b832311807f5ca26,10,10,10,0,2.123010405667296e+22,0
0x274ddbcc68ea479d8b9d0bdf3159de04e42aee05,10,10,10,0,2.122698732821365e+22,0
0x57a004076f196b722c7a7f45c570be462e765cf0,10,10,10,0,2.1225927512142217e+22,0
0x2dd3a97aee2c998ac123ff0f71773b7c5f02ca71,10,10,10,0,2.122530615790422e+22,0
0x89c8121115955831056958861c6800f0298b820a,10,10,10,0,2.1223920272608854e+22,0
0x00c865e2114d1c0066809f11f4aed7a8ec2d5173,16,16,12,3,2.12e+22,1
0x0065981684b5e02f95283b8ce1916b8981206a3d,16,16,12,3,2.12e+22,1
0x06f720091c6040d51ac18fa3c142ba88afcae458,16,16,12,3,2.12e+22,1
0x1c07496e046cfb49ed6d014d9f9e87dde62ccc71,16,16,12,3,2.12e+22,1
0x230695f1fadc1413fbd66d31b8c200c60d85268b,16,16,12,3,2.12e+22,1
0x3fe251fa14cce0164c028b62fe4713717f1354b1,16,16,12,3,2.12e+22,1
